# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.0 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -31.4319
# Longitude (positive East, ISO 19115): -57.9092
# Altitude (m): 44.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-01T00:00:00.0/2016-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T01:00:00.0/2016-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T02:00:00.0/2016-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T03:00:00.0/2016-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T04:00:00.0/2016-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T05:00:00.0/2016-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T06:00:00.0/2016-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T07:00:00.0/2016-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T08:00:00.0/2016-01-01T09:00:00.0;1.1004;0.2272;0.0038;0.2234;0.0000
2016-01-01T09:00:00.0/2016-01-01T10:00:00.0;167.5811;69.4504;26.1399;43.3105;170.0046
2016-01-01T10:00:00.0/2016-01-01T11:00:00.0;455.1499;262.7587;154.4348;108.3239;465.7364
2016-01-01T11:00:00.0/2016-01-01T12:00:00.0;731.2975;486.1088;334.7498;151.3591;640.4830
2016-01-01T12:00:00.0/2016-01-01T13:00:00.0;977.2113;696.1491;519.8299;176.3192;747.2068
2016-01-01T13:00:00.0/2016-01-01T14:00:00.0;1176.1353;870.0963;682.7360;187.3604;816.5618
2016-01-01T14:00:00.0/2016-01-01T15:00:00.0;1314.5124;992.4959;802.2051;190.2908;858.9292
2016-01-01T15:00:00.0/2016-01-01T16:00:00.0;1382.9092;1053.9240;865.5929;188.3311;881.1557
2016-01-01T16:00:00.0/2016-01-01T17:00:00.0;1376.6590;1049.8316;867.5363;182.2952;887.1667
2016-01-01T17:00:00.0/2016-01-01T18:00:00.0;1296.1810;980.6587;808.7427;171.9160;878.2671
2016-01-01T18:00:00.0/2016-01-01T19:00:00.0;1146.9518;852.6951;695.4008;157.2943;853.1100
2016-01-01T19:00:00.0/2016-01-01T20:00:00.0;939.1320;676.1930;538.2669;137.9261;805.5834
2016-01-01T20:00:00.0/2016-01-01T21:00:00.0;686.8734;465.5726;352.7341;112.8385;719.2135
2016-01-01T21:00:00.0/2016-01-01T22:00:00.0;407.3546;242.3938;163.2296;79.1642;550.0333
2016-01-01T22:00:00.0/2016-01-01T23:00:00.0;120.4838;51.9122;24.1857;27.7265;190.4928
2016-01-01T23:00:00.0/2016-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T00:00:00.0/2016-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T01:00:00.0/2016-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T02:00:00.0/2016-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T03:00:00.0/2016-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T04:00:00.0/2016-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T05:00:00.0/2016-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T06:00:00.0/2016-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T07:00:00.0/2016-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T08:00:00.0/2016-01-02T09:00:00.0;0.8126;0.1743;0.0035;0.1708;0.0000
2016-01-02T09:00:00.0/2016-01-02T10:00:00.0;164.2765;74.8774;36.7472;38.1302;249.5311
2016-01-02T10:00:00.0/2016-01-02T11:00:00.0;452.0397;275.5811;185.8894;89.6917;567.9570
2016-01-02T11:00:00.0/2016-01-02T12:00:00.0;728.5279;498.9979;373.9353;125.0625;719.3567
2016-01-02T12:00:00.0/2016-01-02T13:00:00.0;974.9048;707.3792;558.3186;149.0606;804.9369
2016-01-02T13:00:00.0/2016-01-02T14:00:00.0;1174.3825;879.6205;715.5424;164.0780;857.3097
2016-01-02T14:00:00.0/2016-01-02T15:00:00.0;1313.3654;1000.4669;826.5923;173.8746;885.9242
2016-01-02T15:00:00.0/2016-01-02T16:00:00.0;1382.3784;1061.0777;884.1371;176.9406;900.4058
2016-01-02T16:00:00.0/2016-01-02T17:00:00.0;1376.7123;1056.6974;883.2400;173.4574;903.2027
2016-01-02T17:00:00.0/2016-01-02T18:00:00.0;1296.7458;986.9312;820.8434;166.0878;891.0179
2016-01-02T18:00:00.0/2016-01-02T19:00:00.0;1147.9203;858.0140;704.4808;153.5332;863.5278
2016-01-02T19:00:00.0/2016-01-02T20:00:00.0;940.3683;680.3024;545.0025;135.2999;814.5967
2016-01-02T20:00:00.0/2016-01-02T21:00:00.0;688.2232;468.3603;357.0847;111.2756;726.6630
2016-01-02T21:00:00.0/2016-01-02T22:00:00.0;408.6555;243.7989;165.1468;78.6521;554.6622
2016-01-02T22:00:00.0/2016-01-02T23:00:00.0;121.4970;52.3367;24.5137;27.8230;192.0591
2016-01-02T23:00:00.0/2016-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T00:00:00.0/2016-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T01:00:00.0/2016-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T02:00:00.0/2016-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T03:00:00.0/2016-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T04:00:00.0/2016-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T05:00:00.0/2016-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T06:00:00.0/2016-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T07:00:00.0/2016-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T08:00:00.0/2016-01-03T09:00:00.0;0.5546;0.1176;0.0017;0.1159;0.0000
2016-01-03T09:00:00.0/2016-01-03T10:00:00.0;160.8955;74.3468;38.5110;35.8357;264.7338
2016-01-03T10:00:00.0/2016-01-03T11:00:00.0;448.8648;277.3182;195.9379;81.3803;602.9997
