,,Starting_Time,Min_ConfInt,Max_ConfInt,Forecast,Real
01/01/2018,01:00,0100,680.74,891.73,786.24,510.25
01/01/2018,02:00,0100,527.10,741.02,634.06,406.47
01/01/2018,03:00,0100,353.69,570.52,462.11,393.49
01/01/2018,04:00,0100,335.17,554.92,445.04,388.67
01/01/2018,05:00,0100,487.72,710.39,599.06,377.54
01/01/2018,06:00,0100,502.00,727.58,614.79,349.30
01/01/2018,07:00,0100,414.09,642.58,528.34,324.09
01/01/2018,08:00,0100,262.19,493.60,377.89,259.51
01/01/2018,09:00,0100,180.11,414.44,297.27,178.83
01/01/2018,10:00,0100,76.49,313.74,195.12,132.73
01/01/2018,11:00,0100,65.78,305.94,185.86,168.65
01/01/2018,12:00,0100,33.65,276.73,155.19,270.16
01/01/2018,13:00,0100,58.50,304.49,181.50,352.06
01/01/2018,14:00,0100,201.27,450.18,325.73,406.22
01/01/2018,15:00,0100,272.17,524.00,398.09,472.73
01/01/2018,16:00,0100,362.32,617.07,489.70,539.51
01/01/2018,17:00,0100,386.62,644.28,515.45,571.26
01/01/2018,18:00,0100,420.70,681.28,550.99,578.37
01/01/2018,19:00,0100,514.81,778.31,646.56,627.29
01/01/2018,20:00,0100,549.74,816.15,682.95,660.23
01/01/2018,21:00,0100,524.18,793.51,658.84,648.24
01/01/2018,22:00,0100,494.24,766.48,630.36,473.81
01/01/2018,23:00,0100,430.36,705.52,567.94,356.52
02/01/2018,00:00,0100,417.00,695.08,556.04,317.86
02/01/2018,01:00,0100,405.35,686.35,545.85,271.80
02/01/2018,02:00,0100,404.08,688.00,546.04,232.07
02/01/2018,03:00,0100,373.48,660.31,516.89,208.24
02/01/2018,04:00,0100,337.34,627.09,482.21,210.42
02/01/2018,05:00,0100,375.99,668.66,522.32,180.40
02/01/2018,06:00,0100,329.03,624.61,476.82,113.71
02/01/2018,07:00,0100,265.91,564.40,415.15,74.62
02/01/2018,08:00,0100,196.25,497.67,346.96,72.69
02/01/2018,09:00,0100,91.32,395.65,243.49,92.55
02/01/2018,10:00,0100,0.00,281.72,128.10,67.78
02/01/2018,11:00,0100,0.00,229.70,74.62,75.26
02/01/2018,12:00,0100,0.00,184.07,27.53,107.99
02/01/2018,13:00,0100,0.00,181.96,23.96,140.43
02/01/2018,14:00,0100,0.00,198.38,38.92,183.60
02/01/2018,15:00,0100,0.00,243.11,82.20,225.46
02/01/2018,16:00,0100,0.00,283.58,121.20,245.88
