# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.0 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -30.4192
# Longitude (positive East, ISO 19115): -57.4632
# Altitude (m): 90.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-01T00:00:00.0/2016-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T01:00:00.0/2016-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T02:00:00.0/2016-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T03:00:00.0/2016-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T04:00:00.0/2016-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T05:00:00.0/2016-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T06:00:00.0/2016-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T07:00:00.0/2016-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T08:00:00.0/2016-01-01T09:00:00.0;0.8490;0.1723;0.0023;0.1700;0.0000
2016-01-01T09:00:00.0/2016-01-01T10:00:00.0;166.5825;68.1778;24.9850;43.1928;162.0592
2016-01-01T10:00:00.0/2016-01-01T11:00:00.0;457.1556;261.3694;150.4521;110.9174;451.5515
2016-01-01T11:00:00.0/2016-01-01T12:00:00.0;735.6026;484.8553;327.2522;157.6031;622.4600
2016-01-01T12:00:00.0/2016-01-01T13:00:00.0;982.9542;695.0133;508.8384;186.1749;727.1097
2016-01-01T13:00:00.0/2016-01-01T14:00:00.0;1182.3566;868.8899;668.5417;200.3482;795.3804
2016-01-01T14:00:00.0/2016-01-01T15:00:00.0;1320.2199;990.4685;784.3479;206.1206;836.1884
2016-01-01T15:00:00.0/2016-01-01T16:00:00.0;1387.1457;1049.8958;842.5277;207.3680;855.0661
2016-01-01T16:00:00.0/2016-01-01T17:00:00.0;1378.5676;1042.6231;837.5737;205.0495;855.3213
2016-01-01T17:00:00.0/2016-01-01T18:00:00.0;1295.0633;969.6148;771.8781;197.7367;838.8819
2016-01-01T18:00:00.0/2016-01-01T19:00:00.0;1142.3158;838.6303;656.9126;181.7177;809.1218
2016-01-01T19:00:00.0/2016-01-01T20:00:00.0;930.7254;660.2605;503.3238;156.9367;759.9286
2016-01-01T20:00:00.0/2016-01-01T21:00:00.0;674.7009;448.2863;323.4147;124.8716;670.8427
2016-01-01T21:00:00.0/2016-01-01T22:00:00.0;391.6775;225.0954;141.3958;83.6996;492.4663
2016-01-01T22:00:00.0/2016-01-01T23:00:00.0;104.0713;42.0908;16.9887;25.1022;141.1995
2016-01-01T23:00:00.0/2016-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T00:00:00.0/2016-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T01:00:00.0/2016-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T02:00:00.0/2016-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T03:00:00.0/2016-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T04:00:00.0/2016-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T05:00:00.0/2016-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T06:00:00.0/2016-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T07:00:00.0/2016-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T08:00:00.0/2016-01-02T09:00:00.0;0.5877;0.1228;0.0011;0.1217;0.0000
2016-01-02T09:00:00.0/2016-01-02T10:00:00.0;163.2850;72.9643;33.9385;39.0258;228.0800
2016-01-02T10:00:00.0/2016-01-02T11:00:00.0;454.0594;274.5394;180.5786;93.9608;548.4368
2016-01-02T11:00:00.0/2016-01-02T12:00:00.0;732.8548;500.2845;369.6723;130.6122;706.7259
2016-01-02T12:00:00.0/2016-01-02T13:00:00.0;980.6779;710.4734;555.7011;154.7724;796.3836
2016-01-02T13:00:00.0/2016-01-02T14:00:00.0;1180.6421;883.7072;714.0722;169.6350;850.9893
2016-01-02T14:00:00.0/2016-01-02T15:00:00.0;1319.1188;1004.6843;825.7598;178.9245;881.1646
2016-01-02T15:00:00.0/2016-01-02T16:00:00.0;1386.6672;1064.1886;882.3640;181.8246;895.8240
2016-01-02T16:00:00.0/2016-01-02T17:00:00.0;1378.6779;1057.5164;878.9747;178.5417;897.5556
2016-01-02T17:00:00.0/2016-01-02T18:00:00.0;1295.6880;984.8287;813.6679;171.1608;883.9317
2016-01-02T18:00:00.0/2016-01-02T19:00:00.0;1143.3449;853.1481;695.3770;157.7712;855.7688
2016-01-02T19:00:00.0/2016-01-02T20:00:00.0;932.0210;673.0019;535.0532;137.9487;806.8325
2016-01-02T20:00:00.0/2016-01-02T21:00:00.0;676.1065;458.6962;346.5483;112.1479;717.6125
2016-01-02T21:00:00.0/2016-01-02T22:00:00.0;393.0289;232.5702;155.4032;77.1671;541.1588
2016-01-02T22:00:00.0/2016-01-02T23:00:00.0;105.0571;44.4265;20.1721;24.2544;168.6493
2016-01-02T23:00:00.0/2016-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T00:00:00.0/2016-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T01:00:00.0/2016-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T02:00:00.0/2016-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T03:00:00.0/2016-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T04:00:00.0/2016-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T05:00:00.0/2016-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T06:00:00.0/2016-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T07:00:00.0/2016-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T08:00:00.0/2016-01-03T09:00:00.0;0.4164;0.0868;0.0021;0.0847;0.0000
2016-01-03T09:00:00.0/2016-01-03T10:00:00.0;159.9146;73.8137;37.9785;35.8351;260.2660
2016-01-03T10:00:00.0/2016-01-03T11:00:00.0;450.9018;278.6396;195.8705;82.7691;599.9580
