# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.0 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -32.3862
# Longitude (positive East, ISO 19115): -58.1321
# Altitude (m): 10.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-01T00:00:00.0/2016-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T01:00:00.0/2016-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T02:00:00.0/2016-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T03:00:00.0/2016-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T04:00:00.0/2016-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T05:00:00.0/2016-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T06:00:00.0/2016-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T07:00:00.0/2016-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-01T08:00:00.0/2016-01-01T09:00:00.0;1.7391;0.3728;0.0086;0.3641;0.2006
2016-01-01T09:00:00.0/2016-01-01T10:00:00.0;172.3825;72.9046;29.1276;43.7770;188.3467
2016-01-01T10:00:00.0/2016-01-01T11:00:00.0;457.0054;266.5806;161.6909;104.8897;486.4963
2016-01-01T11:00:00.0/2016-01-01T12:00:00.0;730.6105;488.1885;343.2337;144.9548;657.5667
2016-01-01T12:00:00.0/2016-01-01T13:00:00.0;974.5584;696.5856;528.7218;167.8638;762.1176
2016-01-01T13:00:00.0/2016-01-01T14:00:00.0;1172.2271;869.6192;692.2995;177.3197;830.7770
2016-01-01T14:00:00.0/2016-01-01T15:00:00.0;1310.1451;991.8668;812.9496;178.9172;873.3310
2016-01-01T15:00:00.0/2016-01-01T16:00:00.0;1378.9101;1053.8616;877.9588;175.9028;896.3345
2016-01-01T16:00:00.0/2016-01-01T17:00:00.0;1373.8305;1050.9866;880.9431;170.0434;902.7324
2016-01-01T17:00:00.0/2016-01-01T18:00:00.0;1295.2456;983.6311;823.1169;160.5142;894.5348
2016-01-01T18:00:00.0/2016-01-01T19:00:00.0;1148.5030;857.7099;710.3926;147.3173;870.3527
2016-01-01T19:00:00.0/2016-01-01T20:00:00.0;943.5938;683.2954;553.3133;129.9821;824.2822
2016-01-01T20:00:00.0/2016-01-01T21:00:00.0;694.4714;474.7310;367.2721;107.4589;740.9956
2016-01-01T21:00:00.0/2016-01-01T22:00:00.0;418.1008;252.7650;175.4625;77.3025;577.6885
2016-01-01T22:00:00.0/2016-01-01T23:00:00.0;133.3836;59.1870;29.2729;29.9141;221.6850
2016-01-01T23:00:00.0/2016-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T00:00:00.0/2016-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T01:00:00.0/2016-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T02:00:00.0/2016-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T03:00:00.0/2016-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T04:00:00.0/2016-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T05:00:00.0/2016-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T06:00:00.0/2016-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T07:00:00.0/2016-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-02T08:00:00.0/2016-01-02T09:00:00.0;1.4038;0.3113;0.0116;0.2997;0.0000
2016-01-02T09:00:00.0/2016-01-02T10:00:00.0;169.0737;77.3656;38.1091;39.2564;256.1505
2016-01-02T10:00:00.0/2016-01-02T11:00:00.0;453.8866;276.8826;186.7947;90.0879;568.6494
2016-01-02T11:00:00.0/2016-01-02T12:00:00.0;727.8267;498.6330;373.7020;124.9310;719.6154
2016-01-02T12:00:00.0/2016-01-02T13:00:00.0;972.2312;705.7730;557.9075;147.8654;806.5230
2016-01-02T13:00:00.0/2016-01-02T14:00:00.0;1170.4467;877.3068;716.2096;161.0972;860.9727
2016-01-02T14:00:00.0/2016-01-02T15:00:00.0;1308.9636;998.0425;829.0997;168.9429;891.5863
2016-01-02T15:00:00.0/2016-01-02T16:00:00.0;1378.3385;1058.8226;887.0125;171.8101;905.9853
2016-01-02T16:00:00.0/2016-01-02T17:00:00.0;1373.8375;1054.9245;884.8850;170.0395;906.7737
2016-01-02T17:00:00.0/2016-01-02T18:00:00.0;1295.7601;986.2598;821.8062;164.4535;892.7311
2016-01-02T18:00:00.0/2016-01-02T19:00:00.0;1149.4186;858.7860;705.0270;153.7591;863.0447
2016-01-02T19:00:00.0/2016-01-02T20:00:00.0;944.7765;682.6921;545.4400;137.2521;811.4081
2016-01-02T20:00:00.0/2016-01-02T21:00:00.0;695.7686;472.4627;358.0502;114.4125;720.6985
2016-01-02T21:00:00.0/2016-01-02T22:00:00.0;419.3519;249.7610;167.7753;81.9858;549.8548
2016-01-02T22:00:00.0/2016-01-02T23:00:00.0;134.4007;58.0300;27.0111;31.0189;202.5403
2016-01-02T23:00:00.0/2016-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T00:00:00.0/2016-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T01:00:00.0/2016-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T02:00:00.0/2016-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T03:00:00.0/2016-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T04:00:00.0/2016-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T05:00:00.0/2016-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T06:00:00.0/2016-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T07:00:00.0/2016-01-03T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-03T08:00:00.0/2016-01-03T09:00:00.0;1.0755;0.2342;0.0066;0.2276;0.0000
2016-01-03T09:00:00.0/2016-01-03T10:00:00.0;165.6858;75.9175;38.2180;37.6996;259.1344
2016-01-03T10:00:00.0/2016-01-03T11:00:00.0;450.7001;276.4144;191.4781;84.9363;586.7805
