Objeto,Procedencia,Fecha Medida,Hora Medida,Valor
DACIDG01EAS,SCADAL,01/03/2016,100,0
DACIDG01EAS,SCADAL,01/03/2016,200,0
DACIDG01EAS,SCADAL,01/03/2016,300,0
DACIDG01EAS,SCADAL,01/03/2016,400,0
DACIDG01EAS,SCADAL,01/03/2016,500,0
DACIDG01EAS,SCADAL,01/03/2016,600,0
DACIDG01EAS,SCADAL,01/03/2016,700,0.1486
DACIDG01EAS,SCADAL,01/03/2016,800,2.3153
DACIDG01EAS,SCADAL,01/03/2016,900,4.3964
DACIDG01EAS,SCADAL,01/03/2016,1000,6.8558
DACIDG01EAS,SCADAL,01/03/2016,1100,5.8743
DACIDG01EAS,SCADAL,01/03/2016,1200,5.0796
DACIDG01EAS,SCADAL,01/03/2016,1300,5.4856
DACIDG01EAS,SCADAL,01/03/2016,1400,4.8794
DACIDG01EAS,SCADAL,01/03/2016,1500,2.7231
DACIDG01EAS,SCADAL,01/03/2016,1600,2.131
DACIDG01EAS,SCADAL,01/03/2016,1700,1.5386
DACIDG01EAS,SCADAL,01/03/2016,1800,0
DACIDG01EAS,SCADAL,01/03/2016,1900,0
DACIDG01EAS,SCADAL,01/03/2016,2000,0
DACIDG01EAS,SCADAL,01/03/2016,2100,0
DACIDG01EAS,SCADAL,01/03/2016,2200,0
DACIDG01EAS,SCADAL,01/03/2016,2300,0
DACIDG01EAS,SCADAL,01/03/2016,2400,0
DACIDG01EAS,SCADAL,02/03/2016,100,0
DACIDG01EAS,SCADAL,02/03/2016,200,0
DACIDG01EAS,SCADAL,02/03/2016,300,0
DACIDG01EAS,SCADAL,02/03/2016,400,0
DACIDG01EAS,SCADAL,02/03/2016,500,0
DACIDG01EAS,SCADAL,02/03/2016,600,0
DACIDG01EAS,SCADAL,02/03/2016,700,0
DACIDG01EAS,SCADAL,02/03/2016,800,0
DACIDG01EAS,SCADAL,02/03/2016,900,3.5189
DACIDG01EAS,SCADAL,02/03/2016,1000,9.4859
DACIDG01EAS,SCADAL,02/03/2016,1100,6.498
DACIDG01EAS,SCADAL,02/03/2016,1200,8.5026
DACIDG01EAS,SCADAL,02/03/2016,1300,10.7909
DACIDG01EAS,VARIAS,02/03/2016,1400,12.8987
DACIDG01EAS,STCR,02/03/2016,1500,9.67
DACIDG01EAS,STCR,02/03/2016,1600,13.94
DACIDG01EAS,STCR,02/03/2016,1700,8.88
DACIDG01EAS,STCR,02/03/2016,1800,3.22
DACIDG01EAS,STCR,02/03/2016,1900,0.83
DACIDG01EAS,STCR,02/03/2016,2000,0
DACIDG01EAS,STCR,02/03/2016,2100,0
DACIDG01EAS,STCR,02/03/2016,2200,0
DACIDG01EAS,STCR,02/03/2016,2300,0
DACIDG01EAS,STCR,02/03/2016,2400,0
DACIDG01EAS,STCR,03/03/2016,100,0
DACIDG01EAS,STCR,03/03/2016,200,0
DACIDG01EAS,STCR,03/03/2016,300,0
DACIDG01EAS,STCR,03/03/2016,400,0
DACIDG01EAS,STCR,03/03/2016,500,0
DACIDG01EAS,STCR,03/03/2016,600,0
DACIDG01EAS,STCR,03/03/2016,700,0
DACIDG01EAS,STCR,03/03/2016,800,0
DACIDG01EAS,STCR,03/03/2016,900,0
DACIDG01EAS,STCR,03/03/2016,1000,0.94
DACIDG01EAS,STCR,03/03/2016,1100,15.45
DACIDG01EAS,STCR,03/03/2016,1200,16.06
DACIDG01EAS,STCR,03/03/2016,1300,17.66
DACIDG01EAS,STCR,03/03/2016,1400,19.31
DACIDG01EAS,STCR,03/03/2016,1500,16.43
DACIDG01EAS,STCR,03/03/2016,1600,13.03
DACIDG01EAS,STCR,03/03/2016,1700,11.4
DACIDG01EAS,STCR,03/03/2016,1800,7.67
DACIDG01EAS,STCR,03/03/2016,1900,1.69
DACIDG01EAS,STCR,03/03/2016,2000,0
DACIDG01EAS,STCR,03/03/2016,2100,0
