,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00
"Mar 1, 16",474.0,544.5,580.7,598.9,608.8,613.2,647.1,644.2,619.9,577.0,597.8,582.6,559.6,519.4,534.1,481.9,512.7,537.1,525.0,466.2,478.3,485.4,468.0,522.2,537.5,523.8,530.4,533.3,500.7,475.2,487.9,518.4,480.8,431.5,469.2,418.9,364.1,339.6,357.5,373.9,396.8,373.0,353.5,312.2,264.4,244.7,219.6,202.7,205.0,211.6,236.8,240.5,249.9,244.5,341.8,406.6,380.4,315.9,293.5,288.1,258.2,223.5,176.6,146.2,123.6,83.8,35.3,22.2,10.6,7.0,9.6,9.8
"Mar 2, 16",537.5,523.8,530.4,533.3,500.7,475.2,487.9,518.4,480.8,431.5,469.2,418.9,364.1,339.6,357.5,373.9,396.8,373.0,353.5,312.2,264.4,244.7,219.6,202.7,205.0,211.6,236.8,240.5,249.9,244.5,341.8,406.6,380.4,315.9,293.5,288.1,258.2,223.5,176.6,146.2,123.6,83.8,35.3,22.2,10.6,7.0,9.6,9.8,10.8,20.6,32.0,41.6,52.0,101.9,163.8,161.7,133.5,114.3,120.1,111.2,103.3,130.7,142.8,148.3,213.0,222.6,241.0,279.9,313.9,318.9,428.2,522.6
"Mar 3, 16",205.0,211.6,236.8,240.5,249.9,244.5,341.8,406.6,380.4,315.9,293.5,288.1,258.2,223.5,176.6,146.2,123.6,83.8,35.3,22.2,10.6,7.0,9.6,9.8,10.8,20.6,32.0,41.6,52.0,101.9,163.8,161.7,133.5,114.3,120.1,111.2,103.3,130.7,142.8,148.3,213.0,222.6,241.0,279.9,313.9,318.9,428.2,522.6,569.9,566.6,562.3,491.0,422.9,340.6,283.0,215.6,175.7,178.4,210.1,241.6,234.6,260.1,304.2,257.2,269.9,261.6,197.8,243.4,318.0,354.9,398.7,382.9
"Mar 4, 16",10.8,20.6,32.0,41.6,52.0,101.9,163.8,161.7,133.5,114.3,120.1,111.2,103.3,130.7,142.8,148.3,213.0,222.6,241.0,279.9,313.9,318.9,428.2,522.6,569.9,566.6,562.3,491.0,422.9,340.6,283.0,215.6,175.7,178.4,210.1,241.6,234.6,260.1,304.2,257.2,269.9,261.6,197.8,243.4,318.0,354.9,398.7,382.9,376.2,368.9,304.2,276.9,237.8,222.0,265.0,218.1,180.0,133.1,94.0,81.7,73.9,77.9,91.1,76.4,63.8,53.1,39.9,31.8,34.0,44.7,67.1,71.1
"Mar 5, 16",569.9,566.6,562.3,491.0,422.9,340.6,283.0,215.6,175.7,178.4,210.1,241.6,234.6,260.1,304.2,257.2,269.9,261.6,197.8,243.4,318.0,354.9,398.7,382.9,376.2,368.9,304.2,276.9,237.8,222.0,265.0,218.1,180.0,133.1,94.0,81.7,73.9,77.9,91.1,76.4,63.8,53.1,39.9,31.8,34.0,44.7,67.1,71.1,66.0,63.9,76.6,98.0,118.7,127.7,161.8,168.7,136.0,116.9,109.5,109.9,87.8,91.1,112.8,120.4,139.5,120.5,83.5,22.8,9.7,8.9,10.5,5.1
"Mar 6, 16",376.2,368.9,304.2,276.9,237.8,222.0,265.0,218.1,180.0,133.1,94.0,81.7,73.9,77.9,91.1,76.4,63.8,53.1,39.9,31.8,34.0,44.7,67.1,71.1,66.0,63.9,76.6,98.0,118.7,127.7,161.8,168.7,136.0,116.9,109.5,109.9,87.8,91.1,112.8,120.4,139.5,120.5,83.5,22.8,9.7,8.9,10.5,5.1,3.8,6.0,17.4,29.0,47.3,75.6,105.2,101.3,117.1,135.2,110.9,121.1,118.3,100.6,71.4,50.4,60.1,49.7,53.3,39.4,26.6,30.0,61.1,76.7
"Mar 7, 16",66.0,63.9,76.6,98.0,118.7,127.7,161.8,168.7,136.0,116.9,109.5,109.9,87.8,91.1,112.8,120.4,139.5,120.5,83.5,22.8,9.7,8.9,10.5,5.1,3.8,6.0,17.4,29.0,47.3,75.6,105.2,101.3,117.1,135.2,110.9,121.1,118.3,100.6,71.4,50.4,60.1,49.7,53.3,39.4,26.6,30.0,61.1,76.7,142.5,190.7,248.5,424.9,462.5,501.5,588.5,582.5,586.9,588.8,613.6,575.2,510.4,428.6,414.8,435.4,442.7,421.1,423.6,428.5,412.2,383.6,399.2,446.7
"Mar 8, 16",3.8,6.0,17.4,29.0,47.3,75.6,105.2,101.3,117.1,135.2,110.9,121.1,118.3,100.6,71.4,50.4,60.1,49.7,53.3,39.4,26.6,30.0,61.1,76.7,142.5,190.7,248.5,424.9,462.5,501.5,588.5,582.5,586.9,588.8,613.6,575.2,510.4,428.6,414.8,435.4,442.7,421.1,423.6,428.5,412.2,383.6,399.2,446.7,506.9,560.7,547.4,616.5,565.7,519.0,453.4,467.2,464.5,445.0,441.7,431.6,407.1,336.2,331.0,323.8,372.1,367.6,310.3,265.7,266.9,212.8,225.2,320.5
"Mar 9, 16",142.5,190.7,248.5,424.9,462.5,501.5,588.5,582.5,586.9,588.8,613.6,575.2,510.4,428.6,414.8,435.4,442.7,421.1,423.6,428.5,412.2,383.6,399.2,446.7,506.9,560.7,547.4,616.5,565.7,519.0,453.4,467.2,464.5,445.0,441.7,431.6,407.1,336.2,331.0,323.8,372.1,367.6,310.3,265.7,266.9,212.8,225.2,320.5,398.6,349.0,374.2,454.6,318.7,275.2,320.5,332.9,355.1,305.2,230.6,210.7,206.0,182.1,187.5,163.8,181.8,200.9,199.1,177.1,187.3,170.3,163.6,135.6
"Mar 10, 16",506.9,560.7,547.4,616.5,565.7,519.0,453.4,467.2,464.5,445.0,441.7,431.6,407.1,336.2,331.0,323.8,372.1,367.6,310.3,265.7,266.9,212.8,225.2,320.5,398.6,349.0,374.2,454.6,318.7,275.2,320.5,332.9,355.1,305.2,230.6,210.7,206.0,182.1,187.5,163.8,181.8,200.9,199.1,177.1,187.3,170.3,163.6,135.6,133.7,146.6,158.0,179.8,207.8,279.5,401.6,431.1,417.6,403.9,385.8,399.6,350.0,304.5,245.5,235.8,211.5,193.3,137.5,94.8,127.4,123.3,98.1,80.4
"Mar 11, 16",398.6,349.0,374.2,454.6,318.7,275.2,320.5,332.9,355.1,305.2,230.6,210.7,206.0,182.1,187.5,163.8,181.8,200.9,199.1,177.1,187.3,170.3,163.6,135.6,133.7,146.6,158.0,179.8,207.8,279.5,401.6,431.1,417.6,403.9,385.8,399.6,350.0,304.5,245.5,235.8,211.5,193.3,137.5,94.8,127.4,123.3,98.1,80.4,63.4,64.7,72.1,85.0,129.0,187.3,293.8,399.9,410.8,405.2,451.8,469.1,455.7,473.1,460.6,436.9,397.2,363.8,217.2,135.7,125.2,140.7,99.2,84.2
"Mar 12, 16",133.7,146.6,158.0,179.8,207.8,279.5,401.6,431.1,417.6,403.9,385.8,399.6,350.0,304.5,245.5,235.8,211.5,193.3,137.5,94.8,127.4,123.3,98.1,80.4,63.4,64.7,72.1,85.0,129.0,187.3,293.8,399.9,410.8,405.2,451.8,469.1,455.7,473.1,460.6,436.9,397.2,363.8,217.2,135.7,125.2,140.7,99.2,84.2,84.5,85.1,96.1,112.3,121.8,184.0,286.1,421.4,609.4,605.1,571.6,550.3,512.4,448.8,414.1,433.0,435.3,425.5,314.6,262.6,219.8,178.6,144.5,106.0
"Mar 13, 16",63.4,64.7,72.1,85.0,129.0,187.3,293.8,399.9,410.8,405.2,451.8,469.1,455.7,473.1,460.6,436.9,397.2,363.8,217.2,135.7,125.2,140.7,99.2,84.2,84.5,85.1,96.1,112.3,121.8,184.0,286.1,421.4,609.4,605.1,571.6,550.3,512.4,448.8,414.1,433.0,435.3,425.5,314.6,262.6,219.8,178.6,144.5,106.0,60.0,42.2,24.4,39.3,98.4,221.4,364.0,481.4,542.6,580.4,558.6,508.0,480.9,428.5,354.7,356.6,340.5,317.1,219.8,132.4,94.3,72.5,55.0,40.6
"Mar 14, 16",84.5,85.1,96.1,112.3,121.8,184.0,286.1,421.4,609.4,605.1,571.6,550.3,512.4,448.8,414.1,433.0,435.3,425.5,314.6,262.6,219.8,178.6,144.5,106.0,60.0,42.2,24.4,39.3,98.4,221.4,364.0,481.4,542.6,580.4,558.6,508.0,480.9,428.5,354.7,356.6,340.5,317.1,219.8,132.4,94.3,72.5,55.0,40.6,35.7,31.7,59.8,122.1,171.6,268.7,383.2,474.7,570.5,570.4,549.7,539.4,521.4,489.1,465.8,460.5,446.5,379.2,314.0,246.7,226.1,215.9,178.3,126.5
"Mar 15, 16",60.0,42.2,24.4,39.3,98.4,221.4,364.0,481.4,542.6,580.4,558.6,508.0,480.9,428.5,354.7,356.6,340.5,317.1,219.8,132.4,94.3,72.5,55.0,40.6,35.7,31.7,59.8,122.1,171.6,268.7,383.2,474.7,570.5,570.4,549.7,539.4,521.4,489.1,465.8,460.5,446.5,379.2,314.0,246.7,226.1,215.9,178.3,126.5,97.6,77.7,80.5,128.8,240.2,374.9,538.5,590.0,623.3,591.4,620.7,597.7,530.4,570.6,645.7,636.9,567.2,480.7,373.3,307.7,399.7,380.1,208.4,298.9
"Mar 16, 16",35.7,31.7,59.8,122.1,171.6,268.7,383.2,474.7,570.5,570.4,549.7,539.4,521.4,489.1,465.8,460.5,446.5,379.2,314.0,246.7,226.1,215.9,178.3,126.5,97.6,77.7,80.5,128.8,240.2,374.9,538.5,590.0,623.3,591.4,620.7,597.7,530.4,570.6,645.7,636.9,567.2,480.7,373.3,307.7,399.7,380.1,208.4,298.9,289.3,220.8,310.5,271.4,452.6,479.9,506.7,527.4,557.6,548.5,573.0,558.4,587.0,586.5,561.4,540.9,516.1,436.4,351.9,400.7,447.1,406.3,408.5,372.9
"Mar 17, 16",97.6,77.7,80.5,128.8,240.2,374.9,538.5,590.0,623.3,591.4,620.7,597.7,530.4,570.6,645.7,636.9,567.2,480.7,373.3,307.7,399.7,380.1,208.4,298.9,289.3,220.8,310.5,271.4,452.6,479.9,506.7,527.4,557.6,548.5,573.0,558.4,587.0,586.5,561.4,540.9,516.1,436.4,351.9,400.7,447.1,406.3,408.5,372.9,332.8,341.8,336.0,366.8,457.4,513.0,559.8,481.8,475.5,418.9,389.0,406.8,392.6,306.9,309.9,305.8,329.6,261.1,221.5,214.6,202.7,239.3,275.0,232.9
"Mar 18, 16",289.3,220.8,310.5,271.4,452.6,479.9,506.7,527.4,557.6,548.5,573.0,558.4,587.0,586.5,561.4,540.9,516.1,436.4,351.9,400.7,447.1,406.3,408.5,372.9,332.8,341.8,336.0,366.8,457.4,513.0,559.8,481.8,475.5,418.9,389.0,406.8,392.6,306.9,309.9,305.8,329.6,261.1,221.5,214.6,202.7,239.3,275.0,232.9,247.2,215.6,237.0,277.3,298.8,271.9,258.9,314.1,363.1,360.6,333.8,314.5,292.5,312.3,293.4,296.1,317.2,303.4,356.1,416.6,308.0,265.5,247.0,264.1
"Mar 19, 16",332.8,341.8,336.0,366.8,457.4,513.0,559.8,481.8,475.5,418.9,389.0,406.8,392.6,306.9,309.9,305.8,329.6,261.1,221.5,214.6,202.7,239.3,275.0,232.9,247.2,215.6,237.0,277.3,298.8,271.9,258.9,314.1,363.1,360.6,333.8,314.5,292.5,312.3,293.4,296.1,317.2,303.4,356.1,416.6,308.0,265.5,247.0,264.1,230.2,198.4,163.3,107.1,80.2,97.6,104.9,72.6,65.6,74.5,59.1,56.8,62.2,74.7,82.8,95.3,70.7,63.6,68.2,65.1,66.3,85.2,84.2,63.2
"Mar 20, 16",247.2,215.6,237.0,277.3,298.8,271.9,258.9,314.1,363.1,360.6,333.8,314.5,292.5,312.3,293.4,296.1,317.2,303.4,356.1,416.6,308.0,265.5,247.0,264.1,230.2,198.4,163.3,107.1,80.2,97.6,104.9,72.6,65.6,74.5,59.1,56.8,62.2,74.7,82.8,95.3,70.7,63.6,68.2,65.1,66.3,85.2,84.2,63.2,39.3,30.0,36.3,45.0,52.2,80.7,116.5,117.9,94.9,82.7,63.3,94.1,118.7,122.0,134.2,177.8,211.2,202.7,112.4,37.4,28.4,29.3,29.7,20.8
