Objeto,Procedencia,Fecha Medida,Hora Medida,Valor
DSRADG01EAS,STC,01/01/2016,100,0
DSRADG01EAS,STC,01/01/2016,200,0
DSRADG01EAS,STC,01/01/2016,300,0
DSRADG01EAS,STC,01/01/2016,400,0
DSRADG01EAS,STC,01/01/2016,500,0
DSRADG01EAS,STC,01/01/2016,600,0.001
DSRADG01EAS,STC,01/01/2016,700,0.157
DSRADG01EAS,STC,01/01/2016,800,1.389
DSRADG01EAS,STC,01/01/2016,900,2.766
DSRADG01EAS,STC,01/01/2016,1000,5.203
DSRADG01EAS,STC,01/01/2016,1100,6.638
DSRADG01EAS,STC,01/01/2016,1200,6.384
DSRADG01EAS,STC,01/01/2016,1300,6.801
DSRADG01EAS,STC,01/01/2016,1400,6.29
DSRADG01EAS,STC,01/01/2016,1500,7.083
DSRADG01EAS,STC,01/01/2016,1600,5.71
DSRADG01EAS,STC,01/01/2016,1700,4.868
DSRADG01EAS,STC,01/01/2016,1800,2.695
DSRADG01EAS,STC,01/01/2016,1900,1.009
DSRADG01EAS,STC,01/01/2016,2000,0.13
DSRADG01EAS,STC,01/01/2016,2100,0
DSRADG01EAS,STC,01/01/2016,2200,0
DSRADG01EAS,STC,01/01/2016,2300,0
DSRADG01EAS,STC,01/01/2016,2400,0
DSRADG01EAS,STC,02/01/2016,100,0
DSRADG01EAS,STC,02/01/2016,200,0
DSRADG01EAS,STC,02/01/2016,300,0
DSRADG01EAS,STC,02/01/2016,400,0
DSRADG01EAS,STC,02/01/2016,500,0
DSRADG01EAS,STC,02/01/2016,600,0.001
DSRADG01EAS,STC,02/01/2016,700,0.173
DSRADG01EAS,STC,02/01/2016,800,1.199
DSRADG01EAS,STC,02/01/2016,900,3.341
DSRADG01EAS,STC,02/01/2016,1000,5.253
DSRADG01EAS,STC,02/01/2016,1100,6.584
DSRADG01EAS,STC,02/01/2016,1200,5.704
DSRADG01EAS,STC,02/01/2016,1300,5.975
DSRADG01EAS,STC,02/01/2016,1400,6.13
DSRADG01EAS,STC,02/01/2016,1500,7.35
DSRADG01EAS,STC,02/01/2016,1600,6.416
DSRADG01EAS,STC,02/01/2016,1700,4.861
DSRADG01EAS,STC,02/01/2016,1800,3.018
DSRADG01EAS,STC,02/01/2016,1900,1.007
DSRADG01EAS,STC,02/01/2016,2000,0.109
DSRADG01EAS,STC,02/01/2016,2100,0
DSRADG01EAS,STC,02/01/2016,2200,0
DSRADG01EAS,STC,02/01/2016,2300,0
DSRADG01EAS,STC,02/01/2016,2400,0
DSRADG01EAS,STC,03/01/2016,100,0
DSRADG01EAS,STC,03/01/2016,200,0
DSRADG01EAS,STC,03/01/2016,300,0
DSRADG01EAS,STC,03/01/2016,400,0
DSRADG01EAS,STC,03/01/2016,500,0
DSRADG01EAS,STC,03/01/2016,600,0.001
DSRADG01EAS,STC,03/01/2016,700,0.415
DSRADG01EAS,STC,03/01/2016,800,1.213
DSRADG01EAS,STC,03/01/2016,900,3.278
DSRADG01EAS,STC,03/01/2016,1000,4.357
DSRADG01EAS,STC,03/01/2016,1100,5.068
DSRADG01EAS,STC,03/01/2016,1200,5.238
DSRADG01EAS,STC,03/01/2016,1300,6.843
DSRADG01EAS,STC,03/01/2016,1400,6.068
DSRADG01EAS,STC,03/01/2016,1500,4.821
DSRADG01EAS,STC,03/01/2016,1600,3.567
DSRADG01EAS,STC,03/01/2016,1700,2.685
DSRADG01EAS,STC,03/01/2016,1800,1.138
DSRADG01EAS,STC,03/01/2016,1900,0.418
DSRADG01EAS,STC,03/01/2016,2000,0.045
DSRADG01EAS,STC,03/01/2016,2100,0
DSRADG01EAS,STC,03/01/2016,2200,0
DSRADG01EAS,STC,03/01/2016,2300,0
DSRADG01EAS,STC,03/01/2016,2400,0
DSRADG01EAS,STC,04/01/2016,100,0
DSRADG01EAS,STC,04/01/2016,200,0
DSRADG01EAS,STC,04/01/2016,300,0
DSRADG01EAS,STC,04/01/2016,400,0
DSRADG01EAS,STC,04/01/2016,500,0
DSRADG01EAS,STC,04/01/2016,600,0
DSRADG01EAS,STC,04/01/2016,700,0.25
DSRADG01EAS,STC,04/01/2016,800,1.26
DSRADG01EAS,STC,04/01/2016,900,2.102
DSRADG01EAS,STC,04/01/2016,1000,3.374
DSRADG01EAS,STC,04/01/2016,1100,4.129
DSRADG01EAS,STC,04/01/2016,1200,5.128
DSRADG01EAS,STC,04/01/2016,1300,6.055
DSRADG01EAS,STC,04/01/2016,1400,5.006
DSRADG01EAS,STC,04/01/2016,1500,6.051
DSRADG01EAS,STC,04/01/2016,1600,4.024
DSRADG01EAS,STC,04/01/2016,1700,1.633
DSRADG01EAS,STC,04/01/2016,1800,0.437
DSRADG01EAS,STC,04/01/2016,1900,0.038
DSRADG01EAS,STC,04/01/2016,2000,0.005
DSRADG01EAS,STC,04/01/2016,2100,0
DSRADG01EAS,STC,04/01/2016,2200,0
DSRADG01EAS,STC,04/01/2016,2300,0
DSRADG01EAS,STC,04/01/2016,2400,0
DSRADG01EAS,STC,05/01/2016,100,0
DSRADG01EAS,STC,05/01/2016,200,0
DSRADG01EAS,STC,05/01/2016,300,0
DSRADG01EAS,STC,05/01/2016,400,0
DSRADG01EAS,STC,05/01/2016,500,0
DSRADG01EAS,STC,05/01/2016,600,0
DSRADG01EAS,STC,05/01/2016,700,0.17
DSRADG01EAS,STC,05/01/2016,800,1.122
DSRADG01EAS,STC,05/01/2016,900,3.246
DSRADG01EAS,STC,05/01/2016,1000,4.2
