Objeto,Fecha Medida,Hora Medida,Valor
BJACBG01EAS,01/01/2016,100,0
BJACBG01EAS,01/01/2016,200,0
BJACBG01EAS,01/01/2016,300,0
BJACBG01EAS,01/01/2016,400,0
BJACBG01EAS,01/01/2016,500,0
BJACBG01EAS,01/01/2016,600,0
BJACBG01EAS,01/01/2016,700,1.304
BJACBG01EAS,01/01/2016,800,8.055
BJACBG01EAS,01/01/2016,900,21.01
BJACBG01EAS,01/01/2016,1000,27.46
BJACBG01EAS,01/01/2016,1100,33.001
BJACBG01EAS,01/01/2016,1200,33.298
BJACBG01EAS,01/01/2016,1300,31.019
BJACBG01EAS,01/01/2016,1400,31.336
BJACBG01EAS,01/01/2016,1500,31.116
BJACBG01EAS,01/01/2016,1600,35.26
BJACBG01EAS,01/01/2016,1700,29.805
BJACBG01EAS,01/01/2016,1800,18.955
BJACBG01EAS,01/01/2016,1900,7.164
BJACBG01EAS,01/01/2016,2000,0.611
BJACBG01EAS,01/01/2016,2100,0
BJACBG01EAS,01/01/2016,2200,0
BJACBG01EAS,01/01/2016,2300,0
BJACBG01EAS,01/01/2016,2400,0
BJACBG01EAS,02/01/2016,100,0
BJACBG01EAS,02/01/2016,200,0
BJACBG01EAS,02/01/2016,300,0
BJACBG01EAS,02/01/2016,400,0
BJACBG01EAS,02/01/2016,500,0
BJACBG01EAS,02/01/2016,600,0
BJACBG01EAS,02/01/2016,700,1.013
BJACBG01EAS,02/01/2016,800,8.229
BJACBG01EAS,02/01/2016,900,21.353
BJACBG01EAS,02/01/2016,1000,32.937
BJACBG01EAS,02/01/2016,1100,38.539
BJACBG01EAS,02/01/2016,1200,40.059
BJACBG01EAS,02/01/2016,1300,36.242
BJACBG01EAS,02/01/2016,1400,37.813
BJACBG01EAS,02/01/2016,1500,37.229
BJACBG01EAS,02/01/2016,1600,35.255
BJACBG01EAS,02/01/2016,1700,30.056
BJACBG01EAS,02/01/2016,1800,20.118
BJACBG01EAS,02/01/2016,1900,6.907
BJACBG01EAS,02/01/2016,2000,0.529
BJACBG01EAS,02/01/2016,2100,0
BJACBG01EAS,02/01/2016,2200,0
BJACBG01EAS,02/01/2016,2300,0
BJACBG01EAS,02/01/2016,2400,0
BJACBG01EAS,03/01/2016,100,0
BJACBG01EAS,03/01/2016,200,0
BJACBG01EAS,03/01/2016,300,0
BJACBG01EAS,03/01/2016,400,0
BJACBG01EAS,03/01/2016,500,0
BJACBG01EAS,03/01/2016,600,0
BJACBG01EAS,03/01/2016,700,1.379
BJACBG01EAS,03/01/2016,800,7.621
BJACBG01EAS,03/01/2016,900,21.329
BJACBG01EAS,03/01/2016,1000,31.938
BJACBG01EAS,03/01/2016,1100,37.142
BJACBG01EAS,03/01/2016,1200,34.803
BJACBG01EAS,03/01/2016,1300,26.843
BJACBG01EAS,03/01/2016,1400,33.75
BJACBG01EAS,03/01/2016,1500,30.505
BJACBG01EAS,03/01/2016,1600,22.842
BJACBG01EAS,03/01/2016,1700,18.948
BJACBG01EAS,03/01/2016,1800,14.549
BJACBG01EAS,03/01/2016,1900,5.349
BJACBG01EAS,03/01/2016,2000,0.808
BJACBG01EAS,03/01/2016,2100,0
BJACBG01EAS,03/01/2016,2200,0
BJACBG01EAS,03/01/2016,2300,0
BJACBG01EAS,03/01/2016,2400,0
BJACBG01EAS,04/01/2016,100,0
BJACBG01EAS,04/01/2016,200,0
BJACBG01EAS,04/01/2016,300,0
BJACBG01EAS,04/01/2016,400,0
BJACBG01EAS,04/01/2016,500,0
BJACBG01EAS,04/01/2016,600,0
BJACBG01EAS,04/01/2016,700,1.119
BJACBG01EAS,04/01/2016,800,7.572
BJACBG01EAS,04/01/2016,900,13.346
BJACBG01EAS,04/01/2016,1000,20.238
BJACBG01EAS,04/01/2016,1100,26.721
BJACBG01EAS,04/01/2016,1200,24.885
BJACBG01EAS,04/01/2016,1300,16.229
BJACBG01EAS,04/01/2016,1400,14.772
BJACBG01EAS,04/01/2016,1500,11.609
BJACBG01EAS,04/01/2016,1600,7.121
BJACBG01EAS,04/01/2016,1700,9.97
BJACBG01EAS,04/01/2016,1800,7.553
BJACBG01EAS,04/01/2016,1900,0.982
BJACBG01EAS,04/01/2016,2000,0.58
BJACBG01EAS,04/01/2016,2100,0
BJACBG01EAS,04/01/2016,2200,0
BJACBG01EAS,04/01/2016,2300,0
BJACBG01EAS,04/01/2016,2400,0
BJACBG01EAS,05/01/2016,100,0
BJACBG01EAS,05/01/2016,200,0
BJACBG01EAS,05/01/2016,300,0
BJACBG01EAS,05/01/2016,400,0
BJACBG01EAS,05/01/2016,500,0
BJACBG01EAS,05/01/2016,600,0
BJACBG01EAS,05/01/2016,700,0.598
BJACBG01EAS,05/01/2016,800,5.625
BJACBG01EAS,05/01/2016,900,18.397
BJACBG01EAS,05/01/2016,1000,32.496
BJACBG01EAS,05/01/2016,1100,31.746
BJACBG01EAS,05/01/2016,1200,34.696
BJACBG01EAS,05/01/2016,1300,37.941
BJACBG01EAS,05/01/2016,1400,16.683
BJACBG01EAS,05/01/2016,1500,19.688
BJACBG01EAS,05/01/2016,1600,10.368
BJACBG01EAS,05/01/2016,1700,19.782
BJACBG01EAS,05/01/2016,1800,12.105
BJACBG01EAS,05/01/2016,1900,6.929
BJACBG01EAS,05/01/2016,2000,0.621
BJACBG01EAS,05/01/2016,2100,0
BJACBG01EAS,05/01/2016,2200,0
BJACBG01EAS,05/01/2016,2300,0
BJACBG01EAS,05/01/2016,2400,0
BJACBG01EAS,06/01/2016,100,0
